	Total	separated						mainNot						exportNot						
		Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
com.ku6.android.microfilm	6	3	4	4	2	3	1	5	5	5	3	3	3	4	4	4	2	2	2	
com.YoungTech.AinakWalaJin.AinakWalaJinDrama	3	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	
jjong.kim.childvideo	6	4	2	2	2	4	1	4	4	4	4	4	3	3	3	3	3	3	2	
com.englearner.nepalitoenglishspeaking	52	10	52	52	37	40	6	25	51	51	48	46	34	20	46	46	42	41	25	
com.app.brothersgas	43	41	7	7	13	43	3	42	21	21	42	42	18	40	21	21	41	41	16	
com.emeye.cardealerpro	118	14	118	118	102	11	1	108	117	117	117	39	35	106	115	115	115	37	32	
no.terra.android.rorosbanken	64	33	64	64	18	64	4	38	63	63	53	63	48	38	62	62	51	62	47	
de.rezepte.abnehmen.home.workouts	5	5	5	5	5	5	5	4	4	4	4	4	4	3	3	3	3	3	3	
us.sol.StanislausCountyLibrary	14	14	14	14	14	14	9	13	13	13	13	13	13	12	12	12	12	12	12	
com.fitnessmobileapps.blissyogaspa	29	14	29	29	25	26	6	21	28	28	28	28	20	17	24	24	23	24	17	
markm.spinit	2	2	2	2	2	2	2	1	1	1	1	1	1	0	0	0	0	0	0	
com.market.lavkalavka	10	7	10	10	10	10	4	8	9	9	9	9	5	5	6	6	6	6	2	
com.enterprisemobilityclient.te	7	5	7	7	7	3	3	5	6	6	6	3	3	5	6	6	6	3	3	
br.com.mv.nse.HealthcareBenchmarkingCMB	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.midas.europe	36	4	13	36	36	13	3	4	19	35	35	19	4	4	19	35	35	19	4	
com.recisio.kfandroid	5	5	3	5	5	2	0	4	4	4	4	2	0	3	2	3	3	2	0	
com.inncwrestling.free	8	1	1	1	1	0	0	2	6	2	3	1	1	0	4	0	1	0	0	
com.rais.muslimdiary	26	26	26	26	26	26	26	25	25	25	25	25	25	24	24	24	24	24	24	
com.gamindroid.tractor.rescue.simulator	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	
appinventor.ai_ey2378.hadashot	26	1	26	26	1	1	26	1	25	25	1	1	25	1	25	25	1	1	25	
eu.beeple.app.users	20	20	20	20	20	20	4	19	19	19	19	19	18	13	13	13	13	13	7	
com.gera.ArtScienceMuseumJigsawPuzzles	34	24	34	34	34	31	20	28	33	33	33	31	30	25	29	29	29	28	27	
com.Shekhar.FilDiReciNew	4	1	1	1	4	1	1	1	1	1	3	1	1	1	1	1	3	1	1	
com.crazygun.reaper.snipershooting	7	7	7	7	7	7	6	6	6	6	6	6	6	5	5	5	5	5	5	
gps.ils.vor.glasscockpit	34	1	5	34	34	1	0	1	5	33	33	1	0	1	5	33	33	1	0	
com.mish.ali.mrma	32	0	0	32	0	0	0	0	0	31	0	0	0	0	0	31	0	0	0	
com.chambaapp	9	7	9	9	7	9	3	8	8	8	8	8	8	5	6	6	5	6	4	
jp.co.decoo.colorsquare	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.jb.gokeyboard.theme.supercolor.themes.viking	9	6	5	9	9	9	0	8	8	8	8	8	3	6	4	6	6	6	1	
betcoin.viphfft	83	83	83	83	30	41	47	82	82	82	52	58	82	74	74	74	43	51	44	
com.laithnayefappz.qallaeed	3	1	3	3	1	1	1	2	2	2	1	1	1	2	2	2	1	1	1	
kr.ac.snjc.library	8	1	0	0	2	1	0	1	1	1	2	1	1	1	1	1	2	1	1	
com.jobs.ksa	47	28	47	47	42	39	18	44	46	46	46	41	31	37	39	39	38	34	24	
com.shirajammunira.hajj	92	0	92	92	92	0	0	0	91	91	91	0	0	0	91	91	91	0	0	
com.jase.kr.web	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
flashcards.words.words	16	16	16	16	16	16	10	15	15	15	15	15	11	15	15	15	15	15	11	
com.airtheme.iconpack.AncientNurseryRhyme	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
kevinj.instasquare.instasizenocrop.squarequick.emoji.maker	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.hentica.app.listening.cet4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.sendgroupsms.SorryCardsGreetings	18	1	18	18	18	1	1	1	17	17	17	1	1	1	17	17	17	1	1	
com.congo.actualite	70	56	70	70	47	54	29	65	69	69	61	60	50	55	59	59	48	50	37	
com.paptap.pt329567	35	35	27	27	32	35	9	34	34	34	34	34	26	28	26	26	28	28	19	
com.titan.jigsawfree	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.cootek.smartinputv5.skin.keyboard_theme_gold_butterfly	86	52	86	86	85	86	44	57	85	85	85	85	74	33	61	61	61	61	50	
eu.liveclick.aja1	4	4	2	2	3	4	3	3	3	3	3	3	3	2	1	1	2	2	2	
com.rvappstudios.ice.cream.paradise.match3	31	21	31	31	27	31	13	30	30	30	30	30	30	25	25	25	25	25	24	
com.masociete.planningaerofutur	8	7	8	8	8	8	8	7	7	7	7	7	7	7	7	7	7	7	7	
tfl.com.eicheregl	11	2	2	11	9	1	0	9	9	10	10	3	0	9	9	10	10	3	0	
com.b2bg.WeComeInPieces	4	4	4	4	4	4	1	3	3	3	3	3	3	2	2	2	2	2	0	
hd.uhd.live.wallpapers.topwallpapers	18	10	18	18	9	9	9	17	17	17	17	11	11	14	14	14	14	9	9	
com.lax.vj	8	2	4	4	2	2	2	7	4	4	2	2	2	7	4	4	2	2	2	
com.netdania	35	2	35	35	3	2	1	34	34	34	34	34	23	33	33	33	33	33	22	
minimalism.pdfviewer	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.cyberlink.actiondirector	31	29	31	31	22	20	13	30	30	30	27	30	18	28	28	28	25	28	16	
uk.co.myfirmsapp.garbutt	16	16	16	16	14	16	7	15	15	15	15	15	15	7	7	7	6	7	5	
co.april2019.strc	186	186	186	186	160	186	30	185	185	185	185	185	181	164	164	164	164	164	151	
com.visualhdstudio.autoload	9	2	2	9	9	1	1	8	8	8	8	1	1	7	7	7	7	0	0	
com.kaalikiteeggi.three_of_spades	19	10	19	19	19	19	8	18	18	18	18	18	10	9	16	16	16	16	8	
es.lfp.laligatv	64	38	64	64	58	43	27	54	63	63	63	45	61	41	50	50	50	32	45	
com.mojopizza	105	105	105	105	103	105	20	104	104	104	104	104	53	96	96	96	96	96	47	
es.bandomovil.huelaga.informa	79	45	79	79	79	72	6	78	78	78	78	76	30	76	76	76	76	74	28	
com.fun.tigerlivewallpaper	13	10	9	9	9	5	9	11	10	10	11	10	9	5	4	4	5	4	4	
com.freecellsolitaire.slots	26	22	24	26	26	26	18	25	25	25	25	25	25	23	23	23	23	23	23	
com.nahid.alachirgun	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.innoshop.amakshop	39	31	39	39	35	39	19	37	38	38	38	38	30	30	31	31	31	31	24	
com.piki.reference.book.horsesen	6	6	6	6	3	3	1	5	5	5	4	4	3	5	5	5	4	4	3	
com.snow.heavyexcavator.machine.simulator	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	
net.parentlink.americanleadership	60	13	60	60	60	18	7	59	59	59	59	38	34	58	58	58	58	37	33	
com.sunardi.caraccidentlawyer	2	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	
com.Latum.Cubrik	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.greencabbage.urgentradio	6	2	1	1	5	6	1	5	5	5	5	5	5	0	0	0	0	0	0	
com.holsoft.ohmslawcalculator	2	0	2	2	2	2	0	0	1	1	1	1	0	0	1	1	1	1	0	
com.auctionmobility.auctions.vinpresariowineauctions	44	15	44	44	32	18	5	43	43	43	43	43	20	36	39	39	38	36	19	
com.mk.nsmsg	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
hana.tvguidejapan.team	10	6	10	5	7	8	4	9	9	8	9	8	5	9	9	8	9	8	5	
com.artwall.IntroductionToTheTempleOfTheBlessedVirginMaryWallpapers	43	30	43	43	38	39	29	37	42	42	40	39	38	33	38	38	36	36	35	
com.biplug.goodword	42	42	42	42	36	42	8	41	41	41	41	41	40	38	38	38	38	38	33	
com.augmensys.ubik	10	10	10	10	10	10	10	9	9	9	9	9	9	9	9	9	9	9	9	
com.meteo.android.marseille	20	14	20	19	20	20	4	15	19	19	19	19	12	9	12	12	12	12	7	
com.conduit.app_1421416ab17c4a03926ffa3a1a709239.app	14	7	8	3	11	10	6	8	9	4	12	10	9	6	8	3	10	8	7	
com.trubx.trainingcamp	5	5	5	5	5	5	5	4	4	4	4	4	4	3	3	3	3	3	3	
io.artform.com	21	19	21	21	19	21	4	20	20	20	20	20	20	14	14	14	14	14	10	
id.compro.rsudilagaligo2	28	24	28	28	22	28	12	27	27	27	27	27	27	22	22	22	22	22	21	
com.baro.pam	14	6	0	0	0	11	0	13	13	13	11	11	0	13	13	13	11	11	0	
de.unitedkiosk.gg.weltkunst	15	10	6	15	10	13	6	14	11	14	14	13	13	9	7	9	9	9	9	
com.robxbacknever.welcometobloxgrrb2bk	26	14	26	26	26	13	3	25	25	25	25	13	13	22	22	22	22	10	7	
com.kidsfunlearninggames.potato.farm.and.chips.factory	5	5	5	5	5	5	4	4	4	4	4	4	4	3	3	3	3	3	3	
com.app.my.dream.ComputerHardwareCourse	2	0	2	0	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	
com.membersfirst.glenwildgolfclub	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.sticksports.stickcricketlive	38	28	38	38	34	38	17	38	38	38	38	38	38	31	32	32	31	32	30	
com.emagein3d.shooterAR	3	3	3	3	3	3	3	2	2	2	2	2	2	1	1	1	1	1	1	
com.wirdahoam.app	17	15	17	17	13	17	5	16	16	16	16	16	16	12	12	12	11	12	9	
com.rubanbridge.station	53	27	53	53	53	35	7	44	52	52	52	48	46	38	46	46	46	36	31	
br.com.radiosapp5.torreforte	24	24	24	24	17	22	5	23	23	23	23	23	23	18	18	18	17	18	13	
com.leeyokeloong.JingSiYu_Chinese_2e1y0L6L2e0L1y8b	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.carolina.slendermans.fakevideocall	16	7	1	16	8	7	2	7	4	15	15	7	6	6	3	14	14	6	5	
com.anime_core_2.dotakhongdonang	17	17	17	17	17	17	5	16	16	16	16	16	16	13	13	13	13	13	10	
superapps.r.goodorbad	7	7	2	2	4	7	0	6	3	3	6	6	2	5	2	2	5	5	1	
com.appybuilder.jbpersson.ESLWordsUpMore	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.alphacoderswallpaperhd4k.abstractblur	6	6	6	6	6	3	2	5	5	5	5	3	3	3	3	3	3	1	1	
air.Testx86.debug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.andromo.dev518376.app501088	21	15	21	21	21	21	15	18	20	20	20	20	18	18	20	20	20	20	18	
com.navigraph.charts	4	1	4	4	4	4	0	3	3	3	3	3	0	3	3	3	3	3	0	
com.ramayan.bhagavadgita	17	15	17	17	17	17	4	16	16	16	16	16	14	13	13	13	13	13	8	
com.quizmine.intlaw_01	11	6	6	0	11	11	4	10	10	8	10	10	10	10	10	8	10	10	10	
com.leu.houseapM103	31	8	2	31	9	11	2	10	7	30	13	12	6	9	6	29	12	11	6	
net.andromo.dev882.app305377	13	13	1	13	13	6	5	12	12	12	12	12	12	11	10	11	11	11	9	
com.dooit.wiz	68	20	21	68	16	8	4	53	52	67	55	54	51	51	51	65	53	52	49	
com.jb.gokeyboard.theme.BestThemes.blueplastic	8	6	4	4	4	5	0	6	4	4	4	5	1	4	3	3	3	4	0	
com.ks.kshopy	11	9	9	10	11	11	7	10	10	10	10	10	10	8	8	8	8	8	7	
com.APPocalypse.Oxxo	4	4	1	1	4	4	4	3	2	2	3	3	3	3	2	2	3	3	3	
com.stashlartechnologies.HAR_GHAR_ROZGAAR	6	6	3	3	6	3	3	5	4	4	5	4	4	2	1	1	2	1	1	
com.ilmasoftkids.kidsiqen	5	2	1	5	1	1	1	4	3	4	3	1	1	4	3	4	3	1	1	
com.krushak.customer	110	17	110	110	106	110	3	34	109	109	109	109	57	29	104	104	104	104	53	
de.mlu.unihalle	18	13	11	11	12	11	7	15	11	11	12	11	7	14	10	10	11	10	6	
com.RevengeAPP.ColorMatching	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.top_dicionario_ingles_afrikaans.top_dicionario_ingles_afrikaans	3	3	3	3	3	3	1	2	2	2	2	2	1	2	2	2	2	2	1	
com.apps.loveit.deremas	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.SNSomosNerds.DarkOldSun	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	
com.josejoaquin.traductor	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.coreapps.android.followme.sifmadc14	128	15	128	128	16	18	1	26	127	127	75	72	53	17	117	117	60	40	41	
co.selcam	14	5	5	14	2	2	2	13	13	13	3	3	3	11	11	12	3	3	3	
com.cyou.cma.clauncher.theme.v53b358255ffea3993ab2be42	4	2	0	0	1	4	0	2	0	0	1	3	0	2	0	0	1	3	0	
com.tuesdayquest.logicart	9	9	6	6	9	9	7	8	6	6	8	8	8	8	6	6	8	8	8	
com.graprecipes.shrimptacorecipes	3	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	
com.phumikhmer24.ab	20	14	20	20	18	13	1	19	19	19	19	13	13	16	16	16	16	10	6	
air.com.buffalo_studios.newflashbingo	9	8	7	7	9	9	6	8	8	8	8	8	8	6	5	5	6	6	6	
com.hypersonix.ai	7	7	7	7	7	7	7	6	6	6	6	6	6	5	5	5	5	5	5	
com.gamesweplay.warshooter3D	3	3	1	1	1	3	1	2	1	1	1	2	1	1	0	0	0	1	0	
com.JakeDeAndradeGames.PiratesBattleRoyalePRO	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	
ccc71.bmw	54	50	54	54	54	52	10	52	53	53	53	52	49	27	28	28	28	27	13	
com.selfhealing.chakrasnumber1	38	5	38	38	38	38	5	37	37	37	37	37	5	37	37	37	37	37	5	
com.lifeasy.app.lifeasy	92	34	92	92	90	92	8	91	91	91	91	91	27	86	86	86	86	86	19	
com.blazin_techno.v	2	2	2	0	2	0	0	1	1	0	1	0	0	1	1	0	1	0	0	
com.lillc.sunsetwallpaper	15	6	3	15	5	3	3	7	5	14	7	7	6	7	5	14	7	7	6	
com.ritmo.live	3	0	3	3	3	3	0	0	2	2	2	2	0	0	2	2	2	2	0	
com.ancientdevelopers.naturewallpaperz	5	3	3	1	3	3	1	4	4	4	4	4	4	2	2	2	2	2	2	
com.mobileroadie.app_2473	124	11	124	124	61	55	5	76	123	123	121	119	100	68	114	114	104	104	92	
com.cuteprincesskawaii.colorbook_paint	7	0	0	7	5	0	0	4	1	6	6	0	0	4	1	6	6	0	0	
io.mirailabs.fastlane	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	
laradio.online.fmsova975ok	2	2	2	2	0	2	0	1	1	1	0	1	1	1	1	1	0	1	1	
sistemavitto.tocadagula	19	17	19	19	15	19	5	18	18	18	18	18	18	12	13	13	11	13	8	
com.conduit.app_b9efdb40cf63492fa0878684e317076b.app	15	15	10	15	13	13	9	14	13	14	13	13	11	13	12	13	12	12	10	
air.br.com.helme.tapkick	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.appypie.appypie0a911ed87b05	35	14	16	35	17	15	6	33	33	34	34	17	14	29	28	31	31	15	13	
project.freetime.th.usmallsound.gththeseries	21	15	6	21	10	5	10	20	20	20	15	15	15	20	20	20	15	15	15	
com.mockapps.bestfartbelchsounds	5	0	1	1	3	1	1	1	1	1	3	1	1	0	0	0	0	0	0	
com.cardiweb.csm.spaceexperience	6	6	4	4	5	6	4	5	5	5	5	5	5	4	3	3	4	4	3	
com.GoldenKiwi.IOS7LockScreen	5	2	0	0	1	0	0	2	1	1	3	1	1	1	0	0	1	0	0	
plus.sbs.golden_money	38	3	2	2	1	1	1	37	37	37	25	16	16	37	37	37	25	16	16	
com.momogame.juicygarden	10	10	10	10	10	10	5	9	9	9	9	9	9	8	8	8	8	8	8	
com.zoho.sign.zohosign	30	23	30	30	8	11	3	28	29	29	24	24	9	22	23	23	18	19	3	
in.docco360.doctor	2	2	0	0	2	0	0	1	1	1	1	1	1	0	0	0	0	0	0	
au.gov.nsw.onegov.fuelchecktas	9	2	9	9	9	4	4	5	8	8	8	6	6	3	5	5	5	2	2	
com.jb.gokeyboard.theme.supercolor.themes.eastereggs	9	6	5	9	9	9	0	8	8	8	8	8	3	6	4	6	6	6	1	
paradisedairy.ityadi.com	6	4	3	3	3	3	3	5	3	3	3	3	3	4	2	2	2	2	2	
com.mobincube.android.sc_91T73	55	29	55	55	52	49	25	40	54	54	52	51	38	34	48	48	46	45	30	
com.katakatasindiranbuatheaters.newalay.forextradinglifeinsurance	55	13	55	55	35	44	8	28	54	54	51	49	38	22	48	48	44	43	28	
com.sevenshifts.android	160	9	160	160	158	160	9	71	159	159	159	159	152	65	152	152	151	152	31	
com.marianne.williamson	6	3	3	3	2	4	0	5	5	5	3	4	0	5	5	5	3	4	0	
com.hittch	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.mango.android	34	17	34	34	28	10	5	24	33	33	33	32	12	23	32	32	32	30	11	
com.gamescapes.shopping.mall.car.parking	19	15	11	19	19	19	17	18	17	18	18	18	18	16	15	16	16	16	16	
com.osn.go	38	16	38	38	36	38	11	37	37	37	37	37	28	28	29	29	28	29	19	
com.cotap.android	131	106	131	131	86	115	23	126	130	130	128	119	127	109	115	115	114	105	77	
com.Pyrestone.BBBUltra	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	
com.w2cyk.android.rfinder	18	18	5	5	16	5	4	17	5	5	16	5	4	13	2	2	12	1	1	
com.MoreHotels	4	4	3	3	3	4	0	3	3	3	3	3	1	2	2	2	2	2	1	
com.tushar.storysplitter	9	2	9	9	9	3	2	4	8	8	8	3	2	4	8	8	8	3	2	
com.subsplash.thechurchapp.s_S974SN	35	12	35	35	33	28	3	31	34	34	34	33	28	25	28	28	28	27	23	
com.pixlpark.cheese.android	16	14	16	16	16	16	10	15	15	15	15	15	14	12	12	12	12	12	11	
com.papeda	11	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	
com.newfompose	41	10	41	41	39	41	6	33	40	40	40	40	13	29	37	37	36	37	10	
com.emergingmobile.zombiemanor	18	18	16	18	13	18	9	17	17	17	17	17	16	15	15	15	15	15	14	
com.myandroiduniquehandynotebookofdifferententriesprogram.coolnotewithdialogbox	5	1	5	5	1	1	1	1	4	4	1	1	1	1	4	4	1	1	1	
com.triposo.droidguide.azerbaijan	56	13	56	56	17	25	5	21	55	55	51	51	22	17	51	51	47	47	18	
ndr.nikoolin.bullsandcows2	8	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	
com.Baby.House.Decoration.Games.Dollhouse	7	7	7	7	5	5	4	6	6	6	5	5	4	5	5	5	4	4	4	
com.helper.pokemon	24	24	16	24	24	24	22	23	21	23	23	23	23	22	20	22	22	22	22	
com.phonegap.millerntor	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.softtech.parakod	686	686	686	686	678	673	21	685	685	685	685	685	295	677	677	677	677	676	282	
rocks.chuby	7	5	7	7	5	7	3	6	6	6	6	6	6	4	4	4	4	4	4	
it.telepass.prod.TelepassPyng	156	156	156	156	156	156	84	155	155	155	155	155	155	150	150	150	150	150	150	
hero.legend.thuc.son.khuc.vn	10	10	8	8	8	10	4	9	9	9	9	9	8	7	6	6	6	7	5	
lk.prem.GangodawilaSomaTheroSermons	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
tierra2.intapp.com	7	5	7	7	7	7	5	5	6	6	6	6	5	5	5	5	5	5	5	
riddle.com	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	
admobileapps.new38apkfi	109	29	109	109	107	101	16	39	108	108	108	105	53	33	102	102	102	99	46	
com.geoimmo.rivedeseine	58	48	58	58	54	58	7	57	57	57	57	57	18	50	51	51	50	51	9	
com.ShrewsburyEats.customer	119	19	119	119	119	119	3	38	118	118	118	118	61	33	113	113	113	113	57	
br.com.churras	3	0	3	3	0	3	0	0	2	2	0	2	0	0	2	2	0	2	0	
com.powercruisecontrol.i3	4	4	4	4	4	4	4	3	3	3	3	3	3	2	2	2	2	2	2	
com.ixara.tvwalldesign	5	1	5	1	2	1	2	4	4	1	2	1	2	4	4	1	2	1	2	
com.prathimatech.autoconnect	12	1	12	12	12	12	1	1	11	11	11	11	1	1	11	11	11	11	1	
cz.mpizza.penzionjarkabratislava	12	6	5	12	1	4	1	11	11	11	8	7	2	10	10	10	5	6	2	
anime.devil.skull.adventure.cool.typany.u8000000507	6	6	4	4	4	4	4	5	4	4	4	4	4	2	2	2	2	2	2	
com.lumiplan.saintaubin	20	5	20	20	20	20	13	6	19	19	19	19	15	4	17	17	17	17	12	
com.kizuna.plusone	21	2	1	21	4	1	0	20	20	20	4	4	4	20	20	20	4	4	4	
com.abilityjo.darathafnawi	13	3	1	1	1	2	0	3	1	1	2	2	1	2	1	1	2	2	1	
com.telstra.android.afl	48	10	48	48	48	46	11	28	47	47	47	46	33	26	45	45	45	44	31	
com.fileo.tad	18	15	13	18	15	16	4	15	15	17	16	16	16	12	12	14	13	13	11	
com.app.radiodecadas	22	20	22	22	17	17	3	21	21	21	21	21	13	18	18	18	18	18	7	
secret.dating	31	11	31	31	15	16	1	29	30	30	30	30	10	14	29	29	29	29	9	
com.friendlydrive	7	5	3	3	2	5	0	5	5	5	5	4	4	2	2	2	2	1	0	
com.pjproductions.dice	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.ikeyboard.theme.black.cat	21	21	21	21	18	21	4	20	20	20	20	20	14	12	12	12	12	12	5	
com.hygagesoft.boundbomb	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.jtexpress.KhClient	49	21	49	49	49	19	12	43	48	48	48	41	41	39	45	45	45	38	37	
com.cars.cheryamulet	8	4	8	4	4	4	4	4	7	4	4	4	4	1	4	1	1	1	1	
com.quickmove.sa.survey	33	19	33	33	24	33	17	31	32	32	32	32	29	28	29	29	29	29	26	
com.hjsolution.android.glitterphotoframe	4	4	0	0	2	1	1	3	0	0	3	1	1	3	0	0	3	1	1	
com.josapps.revivechurch	33	33	33	33	17	29	13	32	32	32	19	29	16	27	27	27	15	25	12	
com.endgames.sniper.elite.assassin.fps.hitman.gun.shooting	9	9	9	9	9	9	9	8	8	8	8	8	8	8	8	8	8	8	8	
com.eurotravel.prog2.eurotravelplanner	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
com.productschool.confcwczy4	18	4	18	18	15	14	5	10	17	17	17	15	12	7	13	13	13	12	8	
com.aniXification.android.lovemeter	7	0	0	0	3	3	0	0	0	0	6	6	0	0	0	0	0	0	0	
com.thepitchapp	40	31	40	40	36	40	20	37	39	39	39	39	31	29	31	31	31	31	24	
com.inetsgi.theandersons	9	9	9	9	9	9	6	8	8	8	8	8	8	6	6	6	6	6	5	
edu.bcm.android.sbirt	24	0	1	1	1	1	0	0	13	5	13	5	0	0	13	5	13	5	0	
com.centsol.csongs	23	14	5	23	12	16	8	21	8	22	18	16	14	9	5	15	11	10	8	
com.ct.perfect.pouring.water.sort.puzzle	32	24	32	32	28	32	14	31	31	31	31	31	31	24	25	25	24	25	24	
com.action.games.ultimate.figher.champion.free.fighting.kungfu.combat.gangster.game	26	22	22	26	22	24	19	25	25	25	25	25	25	20	20	21	20	21	20	
de.floatec.mensa	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
mus.radio.confiance	19	11	19	19	19	19	1	18	18	18	18	18	5	18	18	18	18	18	5	
com.badflyinteractive.deadeffect2	24	15	21	24	24	24	8	23	23	23	23	23	23	22	22	22	22	22	22	
kr.infocept.catholic.mass	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
com.vaciniti.app.app57eedc6e0ab94	12	12	12	12	12	12	8	11	11	11	11	11	11	10	10	10	10	10	10	
com.wrgardnersoft.ftc2018	14	3	1	1	5	0	0	7	13	13	13	2	2	7	13	13	13	2	2	
com.checkerbpg.curses	2	2	2	0	2	0	0	1	1	0	1	0	0	1	1	0	1	0	0	
com.zeitmobile.coastfitness	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
jp.co.fork.sentakunaviapp	5	1	0	5	3	0	1	4	0	4	4	0	1	4	0	4	4	0	1	
com.topfreebanglaapp.englishspoken	18	13	18	18	9	10	5	13	17	17	10	10	8	10	14	14	7	7	5	
com.voxy.pearson	32	7	32	32	32	32	0	14	31	31	31	31	16	9	22	22	22	22	11	
se.oscarb.pinapple	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	
com.butwhylevin.game	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.vnbookforkid.TiengAnhLop7New.Tap1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	
ru.fmore.samaratransport	15	13	15	15	15	15	0	14	14	14	14	14	13	14	14	14	14	14	13	
com.SPP.Development.BenjaminFranklinQuotesApp	3	3	3	1	3	0	0	2	2	1	2	0	0	2	2	1	2	0	0	
mm.com.ultimatesolution.www.moedps	39	31	39	39	35	39	19	37	38	38	38	38	30	30	31	31	31	31	24	
com.capiratech.monmouth	34	10	22	34	24	7	3	29	31	33	31	14	10	25	27	29	27	10	6	
com.dianyun.chikii	63	63	63	63	63	63	45	62	62	62	62	62	62	53	53	53	53	53	51	
telefonica.de.o2business	106	11	106	106	51	51	1	105	105	105	105	105	60	60	98	98	94	97	54	
appliance.kids.edu	4	0	4	4	4	0	0	0	3	3	3	0	0	0	3	3	3	0	0	
com.cybervalue.TempAlert	6	6	6	6	6	6	6	5	5	5	5	5	5	4	4	4	4	4	4	
net.topicit.android	90	85	90	90	85	70	11	89	89	89	89	89	28	84	84	84	84	84	21	
com.jisshow.app	18	7	4	4	5	7	2	17	9	15	16	17	7	15	7	13	13	15	5	
nl.speakap.brinks	78	39	78	78	78	71	16	51	77	77	77	74	39	46	71	71	71	68	31	
com.aoecindia.academyofengineeringcompetence	3	3	2	2	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	
com.smartsound.skeeperheart	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	
xxxeee.jp.android.sakura_06	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	
net.atos.bravo	4	1	4	4	1	0	0	3	3	3	3	1	0	3	3	3	3	1	0	
com.appsfromscratch.puzztile	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
com.app_mirancho.layout	45	45	45	45	33	45	9	44	44	44	44	44	40	35	35	35	34	35	31	
com.soaltkdcpns.mudah	12	9	12	12	12	12	3	10	11	11	11	11	10	9	10	10	10	10	6	
focus.on.chochosan	54	43	51	54	51	32	8	52	53	53	53	53	51	48	49	49	49	49	44	
